(588, 331),
(642, 269),
(626, 194),
(567, 140),
(568, 64),
(501, 25),
(432, 62),
(432, 141),
(500, 179),
(374, 193),
(358, 270),
(410, 330),
(280, 280),
(221, 333),
(142, 332),
(104, 400),
(142, 468),
(221, 467),
(260, 400),
(280, 522),
(358, 531),
(411, 472),
(375, 607),
(431, 658),
(433, 737),
(499, 775),
(568, 737),
(567, 659),
(500, 619),
(626, 606),
(642, 530),
(586, 468),
(719, 521),
(779, 466),
(858, 464),
(896, 399),
(858, 331),
(779, 332),
(741, 399),
(721, 280),
(421, 310),
(261, 282),
(277, 282),
(280, 275),
(223, 328),
(223, 334),
(140, 336),
(141, 336),
(141, 467),
